ticker,date,open,high,low,close,actual_return,MSCI,msci_return
TRX,2023-03-03,0.0696373,0.0698219,0.0664072,0.0671327,-3.606325284,"2,757.97",1.407737075
USDC,2023-03-03,0.99998,1.0003,0.99963,0.99996,-0.00300003,"2,757.97",1.407737075
USDT,2023-03-03,1.00009,1.00045,0.9999,1.00006,-0.00299973,"2,757.97",1.407737075
XRP,2023-03-03,0.378364,0.378524,0.352708,0.375326,-0.789820097,"2,757.97",1.407737075
ADA,2023-03-06,0.337941,0.338727,0.32916,0.33061,-2.199989942,"2,764.64",0.241880804
AVAX,2023-03-06,16.1918,16.6383,15.8227,16.509,1.582593928,"2,764.64",0.241880804
BCH,2023-03-06,124.214,125.003,122.221,124.393,-0.016879129,"2,764.64",0.241880804
BNB,2023-03-06,288.735,289.732,283.266,287.783,-0.432132082,"2,764.64",0.241880804
BTC,2023-03-06,22428.0,22598.3,22266.8,22432.3,-0.011143402,"2,764.64",0.241880804
DAI,2023-03-06,0.99971,1.00217,0.99726,0.99944,0.013008976,"2,764.64",0.241880804
DOGE,2023-03-06,0.0748942,0.075139,0.0732795,0.0747405,-0.211884773,"2,764.64",0.241880804
DOT,2023-03-06,5.99346,6.0407,5.8594,5.92524,-1.129992525,"2,764.64",0.241880804
ETH,2023-03-06,1563.51,1583.33,1554.56,1569.29,0.225449622,"2,764.64",0.241880804
ICP,2023-03-06,5.37359,5.53117,5.2441,5.34568,-0.648813606,"2,764.64",0.241880804
LINK,2023-03-06,6.97077,6.97967,6.82106,6.87689,-1.35384227,"2,764.64",0.241880804
LTC,2023-03-06,90.1008,90.6309,86.4996,87.7747,-2.667113182,"2,764.64",0.241880804
MATIC,2023-03-06,1.13983,1.14691,1.11428,1.13183,-0.667000167,"2,764.64",0.241880804
SHIB,2023-03-06,1.11e-05,1.12e-05,1.09e-05,1.12e-05,0.342,"2,764.64",0.241880804
SOL,2023-03-06,21.0424,21.1628,20.4714,20.6937,-1.703843742,"2,764.64",0.241880804
TRX,2023-03-06,0.0674161,0.0676886,0.066657,0.067336,-0.172566136,"2,764.64",0.241880804
USDC,2023-03-06,1.00001,1.00025,0.99952,0.99994,-0.00699993,"2,764.64",0.241880804
USDT,2023-03-06,1.00012,1.00035,0.99972,0.99994,-0.01699813,"2,764.64",0.241880804
XRP,2023-03-06,0.368261,0.37408,0.359182,0.371138,0.783976147,"2,764.64",0.241880804
ADA,2023-03-07,0.33097,0.334627,0.324851,0.326284,-1.308490366,"2,724.80",-1.440946582
AVAX,2023-03-07,16.5079,16.7298,15.8594,16.0392,-2.845720516,"2,724.80",-1.440946582
BCH,2023-03-07,124.284,125.897,120.095,121.294,-2.491297742,"2,724.80",-1.440946582
BNB,2023-03-07,287.783,290.374,283.358,287.586,-0.068454356,"2,724.80",-1.440946582
BTC,2023-03-07,22432.6,22556.7,21944.0,22104.6,-1.46083995,"2,724.80",-1.440946582
DAI,2023-03-07,0.9995,1.00214,0.99719,0.99965,0.021011767,"2,724.80",-1.440946582
DOGE,2023-03-07,0.0747335,0.0759702,0.0723281,0.0729374,-2.412480516,"2,724.80",-1.440946582
DOT,2023-03-07,5.92274,6.01608,5.74054,5.78601,-2.349778237,"2,724.80",-1.440946582
ETH,2023-03-07,1569.3,1584.16,1537.59,1553.21,-1.024667206,"2,724.80",-1.440946582
ICP,2023-03-07,5.34368,5.42595,5.15028,5.27174,-1.383172955,"2,724.80",-1.440946582
LINK,2023-03-07,6.88129,6.9731,6.66933,6.77056,-1.546193119,"2,724.80",-1.440946582
LTC,2023-03-07,87.7547,88.9482,84.1582,85.6557,-2.41413528,"2,724.80",-1.440946582
MATIC,2023-03-07,1.13233,1.16878,1.11547,1.12458,-0.64055556,"2,724.80",-1.440946582
SHIB,2023-03-07,1.12e-05,1.13e-05,1.06e-05,1.09e-05,-2.51,"2,724.80",-1.440946582
SOL,2023-03-07,20.7068,20.8755,19.7095,19.9653,-3.519911857,"2,724.80",-1.440946582
TRX,2023-03-07,0.0673292,0.067733,0.0657634,0.0659487,-2.06026494,"2,724.80",-1.440946582
USDC,2023-03-07,0.9998,1.00008,0.99962,0.99985,-0.00900054,"2,724.80",-1.440946582
USDT,2023-03-07,0.99994,1.00008,0.99985,0.99995,0.00100006,"2,724.80",-1.440946582
XRP,2023-03-07,0.371208,0.384303,0.36701,0.381171,2.703307126,"2,724.80",-1.440946582
ADA,2023-03-08,0.330543,0.33274,0.313467,0.316501,-2.998308222,"2,725.23",0.015707552
AVAX,2023-03-08,16.0392,16.2585,14.9993,15.1291,-5.674223153,"2,725.23",0.015707552
BCH,2023-03-08,121.095,122.61,114.693,115.895,-4.451168236,"2,725.23",0.015707552
BNB,2023-03-08,287.586,293.968,285.083,287.283,-0.105359788,"2,725.23",0.015707552
BTC,2023-03-08,22102.6,22267.6,21788.4,21788.4,-1.430471486,"2,725.23",0.015707552
DAI,2023-03-08,0.99906,1.00201,0.99709,0.99784,-0.181063372,"2,725.23",0.015707552
DOGE,2023-03-08,0.0739317,0.0743323,0.0699826,0.0709567,-2.715616405,"2,725.23",0.015707552
DOT,2023-03-08,5.78731,5.94013,5.50238,5.56717,-3.782226439,"2,725.23",0.015707552
ETH,2023-03-08,1553.21,1570.79,1542.36,1545.22,-0.514418527,"2,725.23",0.015707552
ICP,2023-03-08,5.27574,5.36352,4.98375,5.0308,-4.570407494,"2,725.23",0.015707552
LINK,2023-03-08,6.77146,6.94861,6.49454,6.56794,-2.99266235,"2,725.23",0.015707552
LTC,2023-03-08,85.6657,86.58,81.3759,82.2851,-3.935056278,"2,725.23",0.015707552
MATIC,2023-03-08,1.14991,1.15752,1.03886,1.05144,-6.503761404,"2,725.23",0.015707552
SHIB,2023-03-08,1.09e-05,1.17e-05,1.07e-05,1.09e-05,-0.00184,"2,725.23",0.015707552
SOL,2023-03-08,20.2682,20.3906,18.1164,18.3688,-7.996373708,"2,725.23",0.015707552
TRX,2023-03-08,0.0659307,0.066528,0.0647268,0.0649741,-1.477815332,"2,725.23",0.015707552
USDC,2023-03-08,0.99985,1.00008,0.99944,0.99984,-0.00100015,"2,725.23",0.015707552
USDT,2023-03-08,0.99996,1.00008,0.99954,0.99994,-0.00100005,"2,725.23",0.015707552
XRP,2023-03-08,0.381181,0.40138,0.372769,0.387007,1.531071356,"2,725.23",0.015707552
ADA,2023-03-09,0.316228,0.32201,0.301154,0.305371,-3.516576567,"2,691.17",-1.249948628
AVAX,2023-03-09,15.1385,15.6825,14.1972,14.2613,-5.735965788,"2,691.17",-1.249948628
BCH,2023-03-09,115.988,118.363,106.477,109.311,-5.681004357,"2,691.17",-1.249948628
BNB,2023-03-09,287.171,291.265,271.538,276.225,-3.849166153,"2,691.17",-1.249948628
BTC,2023-03-09,21795.4,21813.8,20062.4,20344.5,-6.626920747,"2,691.17",-1.249948628
DAI,2023-03-09,0.9978,1.0015,0.99685,0.99899,0.115248938,"2,691.17",-1.249948628
DOGE,2023-03-09,0.0709829,0.0722576,0.0639872,0.0654469,-7.765017257,"2,691.17",-1.249948628
DOT,2023-03-09,5.56544,5.79839,5.25064,5.32028,-4.434748714,"2,691.17",-1.249948628
ETH,2023-03-09,1544.68,1547.47,1411.68,1432.4,-7.301225715,"2,691.17",-1.249948628
ICP,2023-03-09,5.0305,5.254,4.65907,4.68047,-6.963703586,"2,691.17",-1.249948628
LINK,2023-03-09,6.56541,6.68529,6.00898,6.08751,-7.314774496,"2,691.17",-1.249948628
LTC,2023-03-09,82.2418,84.9028,75.0993,75.8068,-7.872992802,"2,691.17",-1.249948628
MATIC,2023-03-09,1.04987,1.0931,0.97422,1.0078,-4.150498364,"2,691.17",-1.249948628
SHIB,2023-03-09,1.09e-05,1.11e-05,9.88e-06,1e-05,-7.88,"2,691.17",-1.249948628
SOL,2023-03-09,18.3913,18.7731,16.7171,17.1817,-6.462588737,"2,691.17",-1.249948628
TRX,2023-03-09,0.0649805,0.0663314,0.0565551,0.0581548,-10.49541279,"2,691.17",-1.249948628
USDC,2023-03-09,0.9999,1.00044,0.9995,1.00019,0.035005601,"2,691.17",-1.249948628
USDT,2023-03-09,1.0,1.00025,0.9994,1.0001,0.01600096,"2,691.17",-1.249948628
XRP,2023-03-09,0.387361,0.397095,0.364607,0.374004,-3.359887547,"2,691.17",-1.249948628
ADA,2023-03-10,0.305421,0.318028,0.297689,0.316951,3.792108615,"2,657.41",-1.254473894
AVAX,2023-03-10,14.2614,15.1789,13.8889,14.9128,4.568307237,"2,657.41",-1.254473894
BCH,2023-03-10,109.211,111.904,105.192,111.594,2.088536378,"2,657.41",-1.254473894
BNB,2023-03-10,276.228,278.553,265.079,277.981,0.635713639,"2,657.41",-1.254473894
BTC,2023-03-10,20345.2,20380.1,19561.8,20167.4,-0.870505542,"2,657.41",-1.254473894
DAI,2023-03-10,0.9998,1.00494,0.99704,1.00361,0.462467092,"2,657.41",-1.254473894
DOGE,2023-03-10,0.0653465,0.0661403,0.062564,0.0657315,0.434856349,"2,657.41",-1.254473894
DOT,2023-03-10,5.32093,5.58206,5.14479,5.57673,4.820235025,"2,657.41",-1.254473894
ETH,2023-03-10,1432.69,1439.4,1370.33,1429.2,-0.223401285,"2,657.41",-1.254473894
ICP,2023-03-10,4.67747,4.98269,4.57763,4.9465,5.683830897,"2,657.41",-1.254473894
LINK,2023-03-10,6.08951,6.2632,5.90063,6.24499,2.586936202,"2,657.41",-1.254473894
LTC,2023-03-10,75.8276,76.8069,68.5845,72.0341,-4.97673032,"2,657.41",-1.254473894
MATIC,2023-03-10,1.00821,1.07018,0.94342,1.06738,5.911887279,"2,657.41",-1.254473894
SHIB,2023-03-10,1e-05,1.03e-05,9.66e-06,1.03e-05,2.55,"2,657.41",-1.254473894
SOL,2023-03-10,17.1836,18.3287,16.0326,18.1742,5.776494759,"2,657.41",-1.254473894
TRX,2023-03-10,0.0580978,0.061995,0.0555156,0.0574532,-1.206435238,"2,657.41",-1.254473894
USDC,2023-03-10,1.0002,1.00221,0.999277,0.999837,-0.035293294,"2,657.41",-1.254473894
USDT,2023-03-10,1.00015,1.00452,0.99983,1.00354,0.343965603,"2,657.41",-1.254473894
XRP,2023-03-10,0.373967,0.37496,0.357891,0.372106,-0.507481203,"2,657.41",-1.254473894
ADA,2023-03-13,0.331543,0.353659,0.327978,0.346798,5.210817239,"2,643.64",-0.518023578
AVAX,2023-03-13,16.1525,16.8783,15.5167,16.5759,2.685474279,"2,643.64",-0.518023578
BCH,2023-03-13,120.578,128.856,119.685,127.507,5.799133739,"2,643.64",-0.518023578
BNB,2023-03-13,287.413,315.497,287.063,310.434,8.047697277,"2,643.64",-0.518023578
BTC,2023-03-13,21934.6,24630.9,21829.2,24299.2,10.87525895,"2,643.64",-0.518023578
DAI,2023-03-13,0.986917,1.00137,0.98607,0.99913,1.258215391,"2,643.64",-0.518023578
DOGE,2023-03-13,0.0706661,0.0739584,0.0683227,0.0732099,3.656072617,"2,643.64",-0.518023578
DOT,2023-03-13,5.8367,6.16982,5.71808,6.14442,5.25754988,"2,643.64",-0.518023578
ETH,2023-03-13,1581.33,1703.56,1571.18,1686.99,6.776249581,"2,643.64",-0.518023578
ICP,2023-03-13,5.13851,5.46826,4.99698,5.42757,5.750080371,"2,643.64",-0.518023578
LINK,2023-03-13,6.51026,6.92231,6.40546,6.81779,4.717340485,"2,643.64",-0.518023578
LTC,2023-03-13,74.5235,83.6773,74.3117,82.7087,10.99842444,"2,643.64",-0.518023578
MATIC,2023-03-13,1.15634,1.20581,1.09595,1.19816,4.494950376,"2,643.64",-0.518023578
SHIB,2023-03-13,1.07e-05,1.13e-05,1.04e-05,1.12e-05,4.14,"2,643.64",-0.518023578
SOL,2023-03-13,20.2968,21.5121,18.9068,20.6137,1.259996463,"2,643.64",-0.518023578
TRX,2023-03-13,0.0622658,0.0690811,0.0622506,0.0674892,8.439902629,"2,643.64",-0.518023578
USDC,2023-03-13,0.992065,1.00154,0.988355,0.998468,0.676170291,"2,643.64",-0.518023578
USDT,2023-03-13,1.0073,1.01187,1.00133,1.00399,-0.54877022,"2,643.64",-0.518023578
XRP,2023-03-13,0.370013,0.382331,0.357352,0.375372,1.462312346,"2,643.64",-0.518023578
ADA,2023-03-14,0.346862,0.369597,0.337994,0.344795,-0.577569651,"2,674.36",1.161995459
AVAX,2023-03-14,16.5759,17.9832,16.1773,17.1502,3.464668585,"2,674.36",1.161995459
BCH,2023-03-14,127.537,136.695,126.061,131.548,3.169237767,"2,674.36",1.161995459
BNB,2023-03-14,310.434,320.643,303.857,310.374,-0.01932778,"2,674.36",1.161995459
BTC,2023-03-14,24299.7,26558.8,24043.3,24804.0,2.077434648,"2,674.36",1.161995459
DAI,2023-03-14,0.99879,1.00246,0.995338,0.998788,-0.03422978,"2,674.36",1.161995459
DOGE,2023-03-14,0.073212,0.0779391,0.0715283,0.074759,2.115970654,"2,674.36",1.161995459
DOT,2023-03-14,6.14603,6.56153,6.02458,6.24928,1.706589068,"2,674.36",1.161995459
ETH,2023-03-14,1687.0,1789.17,1665.21,1708.77,1.291056853,"2,674.36",1.161995459
ICP,2023-03-14,5.42847,5.79723,5.23951,5.55072,2.268971197,"2,674.36",1.161995459
LINK,2023-03-14,6.81539,7.23296,6.65105,6.94894,1.923643879,"2,674.36",1.161995459
LTC,2023-03-14,82.7388,88.4412,79.531,84.0448,1.615428607,"2,674.36",1.161995459
MATIC,2023-03-14,1.19794,1.24913,1.14876,1.18607,-1.009047206,"2,674.36",1.161995459
SHIB,2023-03-14,1.11e-05,1.19e-05,1.09e-05,1.12e-05,0.822,"2,674.36",1.161995459
SOL,2023-03-14,20.614,22.1757,19.8822,20.979,1.772122423,"2,674.36",1.161995459
TRX,2023-03-14,0.0674782,0.0692492,0.0659229,0.0672539,-0.348648376,"2,674.36",1.161995459
USDC,2023-03-14,0.998669,1.00586,0.997823,0.999893,0.142718645,"2,674.36",1.161995459
USDT,2023-03-14,1.00399,1.01,1.00242,1.00412,0.012948336,"2,674.36",1.161995459
XRP,2023-03-14,0.375332,0.388625,0.36686,0.375196,-0.046886822,"2,674.36",1.161995459
ADA,2023-03-15,0.344045,0.348451,0.316572,0.323372,-6.213257153,"2,638.46",-1.342301955
AVAX,2023-03-15,17.1505,17.5219,15.3755,15.5852,-9.125258014,"2,638.46",-1.342301955
BCH,2023-03-15,131.76,134.453,122.339,123.568,-6.066226777,"2,638.46",-1.342301955
BNB,2023-03-15,310.374,314.321,300.738,306.884,-1.124449857,"2,638.46",-1.342301955
BTC,2023-03-15,24801.3,25258.8,23980.0,24464.9,-1.367118207,"2,638.46",-1.342301955
DAI,2023-03-15,0.998958,1.00224,0.995691,0.998376,-0.041249995,"2,638.46",-1.342301955
DOGE,2023-03-15,0.0749184,0.0762823,0.0681398,0.0696222,-6.871145949,"2,638.46",-1.342301955
DOT,2023-03-15,6.25055,6.39669,5.7921,5.86664,-6.122945363,"2,638.46",-1.342301955
ETH,2023-03-15,1708.41,1722.38,1615.23,1655.21,-3.134418324,"2,638.46",-1.342301955
ICP,2023-03-15,5.5549,5.70791,4.97482,5.17263,-6.811548772,"2,638.46",-1.342301955
LINK,2023-03-15,6.95465,7.13077,6.40373,6.53353,-5.97803406,"2,638.46",-1.342301955
LTC,2023-03-15,84.0248,85.9298,75.2153,76.0682,-9.490890573,"2,638.46",-1.342301955
MATIC,2023-03-15,1.20088,1.23334,1.07778,1.11466,-6.020723903,"2,638.46",-1.342301955
SHIB,2023-03-15,1.12e-05,1.15e-05,1.02e-05,1.04e-05,-7.58,"2,638.46",-1.342301955
SOL,2023-03-15,20.9772,21.5492,18.7748,19.351,-7.760141093,"2,638.46",-1.342301955
TRX,2023-03-15,0.067256,0.0680853,0.0643054,0.0650842,-3.226132611,"2,638.46",-1.342301955
USDC,2023-03-15,0.999903,1.00087,0.99863,0.999982,0.008900952,"2,638.46",-1.342301955
USDT,2023-03-15,1.00412,1.00615,1.00214,1.0042,0.007967175,"2,638.46",-1.342301955
XRP,2023-03-15,0.375222,0.377811,0.356833,0.360568,-3.898762247,"2,638.46",-1.342301955
ADA,2023-03-16,0.323352,0.329947,0.318303,0.323073,-0.092463169,"2,677.99",1.49803124
AVAX,2023-03-16,15.5651,16.12,15.2938,15.8393,1.630392937,"2,677.99",1.49803124
BCH,2023-03-16,123.566,127.27,122.613,126.029,1.991615952,"2,677.99",1.49803124
BNB,2023-03-16,306.884,333.625,303.969,331.714,8.09100507,"2,677.99",1.49803124
BTC,2023-03-16,24464.0,25224.9,24212.8,25043.8,2.366247154,"2,677.99",1.49803124
DAI,2023-03-16,0.998677,1.00091,0.995978,0.997478,-0.089946072,"2,677.99",1.49803124
DOGE,2023-03-16,0.0696292,0.0716047,0.0689768,0.0715556,2.7769878,"2,677.99",1.49803124
DOT,2023-03-16,5.86634,6.15389,5.79165,6.08523,3.725982845,"2,677.99",1.49803124
ETH,2023-03-16,1655.2,1694.07,1638.65,1676.81,1.304970366,"2,677.99",1.49803124
ICP,2023-03-16,5.17057,5.27641,5.05648,5.16683,-0.112128646,"2,677.99",1.49803124
LINK,2023-03-16,6.53011,6.69129,6.46868,6.66756,2.05141784,"2,677.99",1.49803124
LTC,2023-03-16,76.0782,80.12,75.8058,78.9036,3.727444583,"2,677.99",1.49803124
MATIC,2023-03-16,1.11456,1.15921,1.10242,1.14341,2.579261838,"2,677.99",1.49803124
SHIB,2023-03-16,1.04e-05,1.06e-05,1.02e-05,1.05e-05,0.887,"2,677.99",1.49803124
SOL,2023-03-16,19.3568,19.947,18.9515,19.6684,1.640225311,"2,677.99",1.49803124
TRX,2023-03-16,0.0650163,0.0671323,0.0650153,0.0654165,0.510569386,"2,677.99",1.49803124
USDC,2023-03-16,0.999882,1.00062,0.999084,0.999954,-0.00280005,"2,677.99",1.49803124
USDT,2023-03-16,1.00419,1.00419,1.00109,1.00246,-0.173272257,"2,677.99",1.49803124
XRP,2023-03-16,0.360528,0.367764,0.357548,0.365909,1.48127399,"2,677.99",1.49803124
ADA,2023-03-17,0.32334,0.348741,0.322902,0.346112,7.131205641,"2,656.19",-0.81389461
AVAX,2023-03-17,15.849,17.382,15.6658,17.3718,9.675301308,"2,656.19",-0.81389461
BCH,2023-03-17,126.01,135.624,125.103,134.972,7.095985845,"2,656.19",-0.81389461
BNB,2023-03-17,331.714,339.686,326.51,337.506,1.746082469,"2,656.19",-0.81389461
BTC,2023-03-17,25043.9,27827.2,24944.7,27750.1,10.80626742,"2,656.19",-0.81389461
DAI,2023-03-17,1.00016,1.003,0.996115,1.00038,0.290933735,"2,656.19",-0.81389461
DOGE,2023-03-17,0.0715566,0.0772499,0.0712932,0.076808,7.340306,"2,656.19",-0.81389461
DOT,2023-03-17,6.08144,6.64453,6.04044,6.54371,7.534308481,"2,656.19",-0.81389461
ETH,2023-03-17,1676.8,1787.8,1666.29,1787.52,6.602417686,"2,656.19",-0.81389461
ICP,2023-03-17,5.16467,5.68529,5.12671,5.55255,7.465312387,"2,656.19",-0.81389461
LINK,2023-03-17,6.66562,7.25017,6.6116,7.18321,7.733713682,"2,656.19",-0.81389461
LTC,2023-03-17,78.9337,85.316,78.3412,84.9733,7.692551417,"2,656.19",-0.81389461
MATIC,2023-03-17,1.14332,1.22134,1.14207,1.21763,6.491109926,"2,656.19",-0.81389461
SHIB,2023-03-17,1.05e-05,1.11e-05,1.04e-05,1.11e-05,5.79,"2,656.19",-0.81389461
SOL,2023-03-17,19.6613,21.5033,19.531,21.2784,8.185719225,"2,656.19",-0.81389461
TRX,2023-03-17,0.0654222,0.0680708,0.0648841,0.0678553,3.728111409,"2,656.19",-0.81389461
USDC,2023-03-17,0.999964,1.00086,0.998985,1.00048,0.05260242,"2,656.19",-0.81389461
USDT,2023-03-17,1.00247,1.00307,1.0009,1.00299,0.05286994,"2,656.19",-0.81389461
XRP,2023-03-17,0.365972,0.383148,0.362806,0.379822,3.802311504,"2,656.19",-0.81389461
ADA,2023-03-20,0.349215,0.350727,0.332462,0.335189,-4.016436866,"2,678.29",0.831980519
AVAX,2023-03-20,17.7336,17.8552,16.7088,16.8513,-4.921149886,"2,678.29",0.831980519
BCH,2023-03-20,135.918,139.788,129.997,131.659,-3.157019809,"2,678.29",0.831980519
BNB,2023-03-20,339.526,340.271,332.724,337.527,-0.58876198,"2,678.29",0.831980519
BTC,2023-03-20,28198.0,28553.4,27223.3,28054.7,-0.495488466,"2,678.29",0.831980519
DAI,2023-03-20,1.0004,1.00335,0.996157,0.99823,-0.208933141,"2,678.29",0.831980519
DOGE,2023-03-20,0.0755492,0.0757972,0.070627,0.072052,-4.62272418,"2,678.29",0.831980519
DOT,2023-03-20,6.5204,6.55798,6.1137,6.15408,-5.648447681,"2,678.29",0.831980519
ETH,2023-03-20,1810.28,1815.79,1743.66,1753.9,-3.124067916,"2,678.29",0.831980519
ICP,2023-03-20,5.45347,5.54097,5.05674,5.14571,-5.678143811,"2,678.29",0.831980519
LINK,2023-03-20,7.17297,7.45393,6.93703,7.12923,-0.562517086,"2,678.29",0.831980519
LTC,2023-03-20,85.2676,85.6037,78.8552,80.2217,-5.939784916,"2,678.29",0.831980519
MATIC,2023-03-20,1.17635,1.18533,1.11285,1.12118,-4.779780205,"2,678.29",0.831980519
SHIB,2023-03-20,1.1e-05,1.11e-05,1.04e-05,1.05e-05,-4.31,"2,678.29",0.831980519
SOL,2023-03-20,22.0766,23.9685,21.4637,22.6522,2.537616107,"2,678.29",0.831980519
TRX,2023-03-20,0.0670174,0.0672304,0.0651654,0.0657722,-1.881596515,"2,678.29",0.831980519
USDC,2023-03-20,0.99972,1.00084,0.999319,0.999936,0.02160605,"2,678.29",0.831980519
USDT,2023-03-20,1.00301,1.00456,1.00208,1.00365,0.061812707,"2,678.29",0.831980519
XRP,2023-03-20,0.392536,0.39386,0.372235,0.377643,-3.835693878,"2,678.29",0.831980519
ADA,2023-03-21,0.332957,0.387106,0.330421,0.370167,10.43530665,"2,711.84",1.252589804
AVAX,2023-03-21,16.8412,17.5991,16.4011,17.4354,3.466201421,"2,711.84",1.252589804
BCH,2023-03-21,131.589,134.872,126.141,134.347,2.041637868,"2,711.84",1.252589804
BNB,2023-03-21,337.527,340.906,328.421,336.47,-0.313160132,"2,711.84",1.252589804
BTC,2023-03-21,28054.7,28520.2,27406.2,28121.4,0.237749824,"2,711.84",1.252589804
DAI,2023-03-21,0.998531,1.0023,0.995782,0.998475,0.024543442,"2,711.84",1.252589804
DOGE,2023-03-21,0.072033,0.0780574,0.0706325,0.0765331,6.219258313,"2,711.84",1.252589804
DOT,2023-03-21,6.14876,6.47401,6.02802,6.36494,3.426344799,"2,711.84",1.252589804
ETH,2023-03-21,1753.87,1839.24,1725.43,1799.47,2.598209704,"2,711.84",1.252589804
ICP,2023-03-21,5.14476,5.30581,5.0187,5.28887,2.782123361,"2,711.84",1.252589804
LINK,2023-03-21,7.12923,7.4904,6.86695,7.40003,3.798446677,"2,711.84",1.252589804
LTC,2023-03-21,80.2117,83.5408,77.237,83.0942,3.58070198,"2,711.84",1.252589804
MATIC,2023-03-21,1.10529,1.16805,1.08364,1.14865,2.450097219,"2,711.84",1.252589804
SHIB,2023-03-21,1.05e-05,1.11e-05,1.03e-05,1.09e-05,3.76,"2,711.84",1.252589804
SOL,2023-03-21,22.2446,23.3696,21.6104,22.5116,-0.620690264,"2,711.84",1.252589804
TRX,2023-03-21,0.0657792,0.0675769,0.065032,0.0672438,2.237419457,"2,711.84",1.252589804
USDC,2023-03-21,0.999936,1.00088,0.998981,1.00028,0.034402202,"2,711.84",1.252589804
USDT,2023-03-21,1.00366,1.00427,1.00235,1.00319,-0.045832711,"2,711.84",1.252589804
XRP,2023-03-21,0.377643,0.494482,0.373602,0.463273,22.67485429,"2,711.84",1.252589804
ADA,2023-03-22,0.370368,0.387866,0.35026,0.35869,-3.10049248,"2,686.13",-0.947880755
AVAX,2023-03-22,17.4455,17.9698,16.3151,16.7959,-3.667825229,"2,686.13",-0.947880755
BCH,2023-03-22,134.307,135.051,123.158,125.784,-6.373793237,"2,686.13",-0.947880755
BNB,2023-03-22,336.37,340.462,317.354,322.481,-4.157577199,"2,686.13",-0.947880755
BTC,2023-03-22,28121.2,28872.3,26685.8,27286.4,-2.969268955,"2,686.13",-0.947880755
