Date,USD,Euro,GBP,JPY,CNY,ARS,MSCI,Natural_Gas,Brent_Oil,Crude_Oil,Heating_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,Merval,SHCOMP,BTC,ETH,BNB,USDC,USDT,XRP,
8/9/23,1,-0.218678815,0.110106174,0.286372843,-0.103935698,0.329398536,-0.39,6.55,1.6,1.78,3.93,-0.33,-0.47,-0.44,0.72,0.49,-0.54,0.8,1.31,-0.53,-1.05,-0.49,-1.170164654,-0.510823441,-1.128218472,-0.051987003,-0.072010802,-0.430956383,
8/10/23,1,-0.372185911,-0.086437215,0.571110182,0.110980093,0.368800854,0.29,-6.62,-1.31,-1.87,-1.67,0.4,-0.09,-0.02,1.52,0.91,0.15,0.41,0.94,0.84,1.97,0.31,-0.22507559,-0.223519185,-0.963863349,0.030008102,-0.019016544,-0.630172015,
8/11/23,1,0.538468559,0.2520876,0.373961219,0.279914086,0.352035114,-0.4,0.25,0.47,0.45,-1.01,-0.34,-0.12,-0.11,-1.26,-1.03,0.3,-1.24,-1.05,,2.1,-2.01,-0.193988069,-0.253239902,-0.808407102,0.00699979,-0.004004244,-0.360419811,
8/14/23,1,0.320454129,0.023638799,0.248378639,0.301242279,0.428062612,0.14,0.9,-0.69,-0.82,-1.06,-0.15,-0.13,-0.14,0.12,0.46,0.07,-0.23,0.57,-1.27,3.3,-0.34,0.093034351,-0.185699513,-0.061925424,0.023101871,-0.036028462,0.1137053,
8/15/23,1,-0.054904832,-0.423695567,0.068823125,0.319625267,21.762489,-0.96,-4.87,-1.53,-1.84,-1.95,-0.23,-0.45,-0.44,-1.1,-0.86,-1.02,-1.57,,0.56,6.27,-0.07,-0.590712703,-0.891171812,-1.258821523,0.01499775,0.005005757,-3.281177131,
8/16/23,1,0.220102715,-0.03137501,0.281980743,0.230715355,0.011058105,-0.77,-2.52,-1.7,-1.99,-0.23,-0.53,-0.36,-0.37,-0.1,0.14,-0.52,-0.44,-0.93,-1.46,6.81,-0.82,-1.029529622,-0.95993345,-2.524890918,-0.021993402,-0.002002202,-4.277802106,
8/17/23,1,0.275887438,-0.031365169,0.240038406,-0.102760841,-0.001369041,-0.81,1.12,0.8,1.27,2.41,0.8,-0.68,-0.54,-0.94,-0.71,-0.84,-0.63,-1.03,-0.44,3.41,0.43,-9.199507219,-10.56546221,-7.113692042,-0.0149988,0.055061669,-16.81207444,
8/18/23,1,-0.009195402,0.11775789,-0.691023536,-0.150870937,-0.020657799,-0.15,-2.67,0.81,1.07,2.13,0.08,0.07,0.07,-0.38,-0.65,0.08,-0.65,-0.42,-0.55,0.34,-1,-0.720688446,2.706877483,0.704726552,0.01700119,0.007003992,4.309579567,
8/21/23,1,-0.119397502,0.007851142,0.764726145,0.089285714,-0.098862266,0.45,3.18,-0.4,-0.65,-1.38,4.07,0.34,0.55,0.47,0.19,-0.11,-0.06,0.81,0.37,,-1.24,0.064564192,-0.553277471,-2.591648262,0,-0.0100005,-2.955316402,
8/22/23,1,0.387239535,0.031414435,-0.321345549,0.089206066,0.088658107,-0.05,-2.74,-0.51,-0.46,0.73,0.44,0.16,0.18,0.59,0.66,-0.51,0.18,0.64,0.92,1.65,0.88,-2.031505322,-4.179539737,-2.148929322,0,-0.020003,-1.985601952,
