ticker,date,open,high,low,close,return
DOT,11/29/20,4.897,5.208,4.808,5.195,6.085358383
DOT,11/30/20,5.195,5.488,5.138,5.378,3.522617902
DOT,12/1/20,5.378,5.549,5.001,5.088,-5.39233916
DOT,12/2/20,5.088,5.549,5.01,5.47,7.507861635
DOT,12/3/20,5.47,5.57,5.329,5.406,-1.170018282
DOT,12/4/20,5.406,5.432,4.959,5.001,-7.491675916
DOT,12/5/20,5.001,5.197,4.883,5.187,3.719256149
DOT,12/6/20,5.187,5.209,5.009,5.134,-1.021785232
DOT,12/7/20,5.134,5.16,5.016,5.061,-1.421893261
DOT,12/8/20,5.061,5.067,4.701,4.739,-6.362378976
DOT,12/9/20,4.739,4.938,4.621,4.871,2.785397763
DOT,12/10/20,4.871,4.916,4.737,4.799,-1.478135906
DOT,12/11/20,4.799,4.815,4.542,4.612,-3.896645134
DOT,12/12/20,4.612,4.803,4.612,4.743,2.840416305
DOT,12/13/20,4.743,4.997,4.726,4.895,3.204722749
DOT,12/14/20,4.895,5.004,4.831,4.897,0.040858018
DOT,12/15/20,4.897,5.293,4.851,5.241,7.024709006
DOT,12/16/20,5.241,5.374,5.116,5.366,2.385041023
DOT,12/17/20,5.366,5.737,5.275,5.345,-0.391352963
DOT,12/18/20,5.345,5.514,5.252,5.363,0.33676333
DOT,12/19/20,5.363,5.574,5.279,5.337,-0.484803282
DOT,12/20/20,5.337,5.433,5.08,5.186,-2.829304853
DOT,12/21/20,5.186,5.445,4.782,4.87,-6.093328191
DOT,12/22/20,4.87,5.178,4.801,5.153,5.811088296
DOT,12/23/20,5.153,5.185,4.605,4.715,-8.499902969
DOT,12/24/20,4.715,5.198,4.634,5.114,8.462354189
DOT,12/25/20,5.114,5.286,5.042,5.211,1.896754009
DOT,12/26/20,5.211,5.284,5.074,5.184,-0.518134715
DOT,12/27/20,5.184,5.417,4.931,5.139,-0.868055556
DOT,12/28/20,5.139,6.683,5.105,6.584,28.11831096
DOT,12/29/20,6.584,7.659,6.156,7.533,14.41373026
DOT,12/30/20,7.533,7.673,7.069,7.232,-3.995752024
DOT,12/31/20,7.232,9.502,7.159,9.267,28.13882743
DOT,1/1/21,9.267,9.438,8.104,8.294,-10.49962232
DOT,1/2/21,8.294,9.801,7.895,9.206,10.99590065
DOT,1/3/21,9.206,10.5,8.853,10.14,10.14555725
DOT,1/4/21,10.14,10.52,8.861,9.511,-6.203155819
DOT,1/5/21,9.511,10.06,9.052,9.732,2.323625276
DOT,1/6/21,9.732,10.43,9.473,10.08,3.575832306
DOT,1/7/21,10.08,10.64,9.474,9.645,-4.31547619
DOT,1/8/21,9.645,9.808,8.882,9.297,-3.608087092
DOT,1/9/21,9.297,9.835,9.068,9.765,5.033881897
DOT,1/10/21,9.765,9.985,8.705,9.291,-4.854070661
DOT,1/11/21,9.291,9.325,7.319,8.286,-10.8169196
DOT,1/12/21,8.286,8.704,7.944,8.316,0.362056481
DOT,1/13/21,8.316,11.38,7.985,10.94,31.55363155
DOT,1/14/21,10.94,14.66,10.88,14.58,33.27239488
DOT,1/15/21,14.58,14.96,11.93,13.18,-9.602194787
DOT,1/16/21,13.18,19.37,13.16,17.99,36.49468892
DOT,1/17/21,17.99,18.23,16.33,17.09,-5.002779322
DOT,1/18/21,17.09,18.19,15.77,16.6,-2.867173786
DOT,1/19/21,16.6,17.49,15.91,16.41,-1.144578313
DOT,1/20/21,16.41,18.19,14.81,18,9.689213894
DOT,1/21/21,18,18.13,14.99,15.97,-11.27777778
DOT,1/22/21,15.97,18.03,14.79,17.15,7.388854101
DOT,1/23/21,17.15,18.81,16.83,18.77,9.44606414
DOT,1/24/21,18.77,18.79,17.27,18.02,-3.99573788
DOT,1/25/21,18.02,19.1,17.08,17.21,-4.495005549
DOT,1/26/21,17.21,17.8,16.02,17.13,-0.46484602
DOT,1/27/21,17.13,17.15,15.08,15.48,-9.632224168
DOT,1/28/21,15.48,17.52,15.3,16.9,9.173126615
DOT,1/29/21,16.9,17.73,15.98,16.79,-0.650887574
DOT,1/30/21,16.79,17.09,16.16,16.56,-1.369863014
DOT,1/31/21,16.56,17.52,15.68,16.14,-2.536231884
DOT,2/1/21,16.14,16.56,15.69,16.46,1.982651797
DOT,2/2/21,16.46,17.69,16.07,17.21,4.556500608
DOT,2/3/21,17.21,20.95,16.83,20.92,21.55723417
DOT,2/4/21,20.92,21.72,18.99,19.71,-5.783938815
DOT,2/5/21,19.71,21.38,19.35,20.83,5.682394723
DOT,2/6/21,20.83,21.41,19.88,20.38,-2.160345655
